VendorNumber,VendorName,Brand,Description,Volume,ActualPrice,PurchasePrice,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesToPurchaseRatio,UnitPurchasePrice,OrderSize,UnsoldInventoryValue
480,BACARDI USA INC,129,Grey Goose L'Orange Vodka,1000.0,31.99,49.98,4,99.96,9.0,284.91,252.92000000000002,9.450000000000001,89286.26999999999,184.95000000000005,64.9152363904391,2.25,2.8502400960384158,24.99,Small,-159.95
480,BACARDI USA INC,201,Nassua Royale Liqueur,1000.0,19.49,108.29,34,525.98,36.0,701.64,194.9,37.800000000000004,89286.26999999999,175.65999999999997,25.03563080782167,1.0588235294117647,1.3339670709912923,15.47,Small,-38.98
480,BACARDI USA INC,278,Cazadores Reposado Tequila,1000.0,28.99,219.60000000000005,80,1756.7999999999997,69.0,1997.3100000000004,1156.6000000000001,72.44999999999996,89286.26999999999,240.51000000000067,12.041696081229285,0.8625,1.136902322404372,21.959999999999997,Small,318.89
480,BACARDI USA INC,443,St Germain Liqueur,750.0,33.99,25843.65000000048,7748,189438.60000000164,7705.0,273863.94999999093,171470.84999999768,6070.7199999997965,89286.26999999999,84425.3499999893,30.8274783884451,0.9944501806917915,1.445660757628005,24.450000000000212,Large,1461.5700000000002
480,BACARDI USA INC,508,Bacardi Superior Rum,1000.0,12.99,22529.620000000814,38957,380609.889999995,38335.0,522309.1499999613,123060.88000001835,40251.74999999946,89286.26999999999,141699.2599999663,27.12938496290498,0.984033678157969,1.3722952653699256,9.769999999999872,Large,8079.78
480,BACARDI USA INC,540,Bacardi Pineapple Fusion,50.0,0.99,15.120000000000005,352,253.43999999999997,4657.0,4610.429999999849,2010.6900000000169,239.91000000000153,89286.26999999999,4356.98999999985,94.5028988619281,13.230113636363637,18.191406249999407,0.7199999999999999,Medium,-4261.95
480,BACARDI USA INC,565,Bombay Dry Gin,1000.0,20.49,387.9999999999999,173,2684.959999999999,173.0,3563.2699999999913,2732.6699999999937,181.65000000000012,89286.26999999999,878.3099999999922,24.648988148526335,1.0,1.3271221917644929,15.519999999999994,Medium,0.0
480,BACARDI USA INC,743,Angels Envy Whiskey,750.0,45.99,16023.5,3333,121654.5,3216.0,160767.84000000122,96280.74000000235,2533.5499999999774,89286.26999999999,39113.34000000122,24.329082234357895,0.9648964896489649,1.3215116580151265,36.5,Large,5380.83
480,BACARDI USA INC,802,Bacardi Torched Cherry Rum,750.0,11.99,3499.6199999999626,5049,40341.50999999987,4962.0,57060.37999999947,39933.56000000106,3910.699999999965,89286.26999999999,16718.869999999602,29.30031310692245,0.9827688651218063,1.4144334210593419,7.9899999999999745,Large,1043.13
480,BACARDI USA INC,803,Bacardi Gold Rum,1000.0,12.99,218.2399999999999,1300,12896.000000000002,1250.0,16409.999999999978,1054.7400000000005,1312.4999999999982,89286.26999999999,3513.9999999999764,21.413772090188793,0.9615384615384616,1.2724875930521073,9.920000000000002,Medium,649.5
480,BACARDI USA INC,804,Bacardi Limon Rum,1000.0,15.49,462.40000000000003,297,3433.319999999999,275.0,4039.7499999999827,3038.929999999986,288.7500000000008,89286.26999999999,606.4299999999839,15.011572498297829,0.9259259259259259,1.1766307830321625,11.559999999999995,Medium,340.78000000000003
480,BACARDI USA INC,805,B & B Liqueur Dom,1000.0,32.99,105.56,10,263.90000000000003,12.0,395.88000000000005,263.92,12.600000000000001,89286.26999999999,131.98000000000002,33.33838536930383,1.2,1.5001136794240242,26.390000000000004,Small,-65.98
480,BACARDI USA INC,810,Bacardi Black Razz,750.0,11.99,1423.6200000000067,2283,16414.770000000033,3153.0,37736.47000000068,24286.12000000078,2484.3499999999663,89286.26999999999,21321.700000000645,56.501575266579685,1.38107752956636,2.298933826060347,7.190000000000015,Large,-10431.300000000001
480,BACARDI USA INC,824,Dewars White Label Scotch,1000.0,26.99,12331.440000000106,6787,140898.11999999924,6617.0,178592.82999999964,106394.58000000632,6947.85000000038,89286.26999999999,37694.7100000004,21.10650802722622,0.9749521143362311,1.2675316746596803,20.759999999999888,Large,4588.3
